TREEID,FAMILY,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
2874,,Chamaecyparis pisifera,Sawara-Cypress,Y,5941,Live,80,22.77,22.77,1.45,8.55,7.5,5,3,,3,,,,,PLAN,20190614175927,PLAN,20190620220248
5062,,dead,,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620215214
3919,,Cornus kousa,Japanese Dogwood,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220150
5120,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175832,PLAN,20190620220032
3342,,Pinus nigra,Black Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175906,PLAN,20190620220204
3037,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620220023
4227,,Tsuga canadensis,Hemlock,N,,Live,,,,,,,,0,,4,,,,,PLAN,20190614175911,PLAN,20190620220230
4036,,Zelkova serrata,Saw-Leaf Zelkova,N,,Live,36,6.17,6.17,1.71,6.3500000000000005,6.2,5,5,,6,,,,,PLAN,20190614175912,PLAN,20190620220232
4340,,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190620215211
4414,,Cupressus,Cypress,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620220043
2014,,Ulmus laevis,Russian Elm,Y,7715,Live,6,15.5,11.44,4.0600000000000005,21.400000000000002,15.5,30,4,,5,,,,,PLAN,20190614175928,PLAN,20190620220234
5412,,Sorbus sitchensis,Sitka Mountain-Ash,,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20190620220335
2708,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175842,PLAN,20190620220049
4360,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190620220341
6145,,Quercus palustris,Pin Oak,,,,,,,,,,,,,,,,,,PLAN,20190614175859,PLAN,20190620220200
3315,,Abies pinsapo,Spanish Fir,,,,,,,,,,,,,,,,,,PLAN,20190614175811,PLAN,20190620215943
2677,,Pyrus calleryana,Callery Pear,N,,Live,7,5.5,3.5500000000000003,1.95,2.7,2.1,0,2,,8,,,,,PLAN,20190614175926,PLAN,20190620220248
4951,,Liquidambar styraciflua,Alligator-Wood,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220310
3007,,Chamaecyparis pisifera,Sawara-Cypress,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190620220022
3875,,Acer platanoides,Norway Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220144
2253,,Zelkova serrata,Saw-Leaf Zelkova,N,,Live,43,5.84,5.84,1.75,6.3,5.15,5,5,,6,,,,,PLAN,20190614175911,PLAN,20190620220230
3967,,Cornus kousa,Japanese Dogwood,N,,Live,4,4.15,3.11,1.04,1.5,1.1,5,3,,8,,,,,PLAN,20190614175931,PLAN,20190620220259
2951,,Platanus x hispanica,London Plane,N,,Live,52,21.6,21.6,2.6,24.6,10.200000000000001,25,3,,2,,,,,PLAN,20190614175910,PLAN,20190620220220
4967,,Liriodendron tulipifera,Tulip-Poplar,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220331
5291,,Acer platanoides,Norway Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190620220035
4978,,Robinia pseudoacacia,False Acacia,,,,,,,,,,,,,,,,,,PLAN,20190614175840,PLAN,20190620220101
4402,,Carpinus betulus,European Hornbeam,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620220042
4335,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190620220325
4003,,Acer circinatum,Vine Maple,N,,Live,9,3.7,3.7,0,2.13,1.4000000000000001,0,5,,8,,,,,PLAN,20190614175922,PLAN,20190620220244
5176,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175812,PLAN,20190620215948
5195,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175813,PLAN,20190620215950
5293,,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190620215219
1964,,Quercus rubra,Northern Red Oak,N,,Live,33,16.36,14.16,2.2,11.700000000000001,9.8,6,3,,11,,,,,PLAN,20190614175927,PLAN,20190620220233
7074,,Pseudotsuga menziesii,Douglas-Fir,,,,,,,,,,,,,,,,,,PLAN,20190614175853,PLAN,20190620220318
4454,,Cornus nuttallii,Pacific Dogwood,Y,5680,Live,32,16.330000000000002,16.330000000000002,5.1000000000000005,10.6,6.47,40,1,,9,,,,,PLAN,20190614175913,PLAN,20190620220232
1974,,Betula pendula,European White Birch,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190620220212
6648,,Alnus rubra,Red Alder,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20190620220133
