TYPE,BUILDINGNA,LOCATION,AREATYPE,STATUS,CCP_ADD,HAND_MOW,GLOBALID,SHAPE.AREA,SHAPE.LEN
Planting Bed,Student Recreation Centre,Student Recreation C,,,,,{3D16D7DA-87C1-4AD0-B664-8FBED50C13B6},32.105762749999997,30.703679310132099
Lawn,Student Recreation Centre,Student Recreation C,,,,,{F326B31F-151A-4AB6-9F1F-D062ED22040F},134.11958325000001,74.829049237902694
Planting Bed,Student Recreation Centre,Student Recreation C,,,,,{3D562CD5-3E43-403D-8157-1E5F448268EA},141.94386754999999,77.319817782475894
Planting Bed,Student Recreation Centre,Student Recreation C,,,,,{AF7E03D2-F1E4-4C0A-8A1B-64B15C3D73B3},7.1146106850000006,20.5807025034002
Planting Bed,Student Recreation Centre,Student Recreation C,,,,,{6352A3CF-DA1B-47FA-8308-72DB8B686807},45.410495050000002,30.445251196173398
Planting Bed,Aquatic Centre,Aquatic Centre,,,,,{5547B39C-6DEF-4FD9-A398-87DD3F537970},49.720495329999999,44.678498277038301
Planting Bed,Public,Public - SUB,,,,,{6E73A78F-A60E-4FA6-83D9-B3F69FC010A4},7.055389345,12.177193661870799
Planting Bed,Public,Public - SUB,,,,,{53D82125-FC76-48FD-B9B8-F42E014CAB5D},21.442330470000002,29.008495629913899
Planting Bed,Public,Public - Aquatic Cen,,,,,{EF373A5E-F0F5-478B-B506-324C08FCF136},37.026513285,41.638181082372299
Planting Bed,Public,Public - SUB,,,,,{EF34C22C-3EF9-4ABA-8934-78B0572B026F},17.869320049999999,17.426884494660197
Planting Bed,Public,Public - SUB,,,,,{9A5FCC36-FFB8-4908-A5C9-EA8F79DE4845},87.423821275000009,52.468924248766193
Lawn,Continuing Studies,Continuing Studies,,,,,{6DDA8C7A-A303-40A7-8C50-B0368624943A},78.200852695000009,58.1757596522162
Lawn,West Parkade,West Parkade,,,,,{33AC13FA-7B67-46A0-8FFA-54945B3F416E},16.498694220000001,38.297116293391596
Lawn,Continuing Studies,Continuing Studies,,,,,{AE485884-BD5A-47F4-85FE-ACD4DA1803BA},178.83766196500002,87.061626169632092
Planting Bed,Continuing Studies,Continuing Studies,,,,,{49329BDE-1278-49A1-AA06-A16CEE4181E5},52.483449399999998,47.013302968502799
Planting Bed,West Parkade,West Parkade,,,,,{8F3C9666-8420-4C07-8CA6-C952800AA930},109.270887765,52.302064873146001
Lawn,Continuing Studies,Continuing Studies,,,,,{666B60BD-E8A3-4BB0-967D-DC0D6582CD0C},88.636781020000001,55.168190659726193
Lawn,M21/M22,M21/M22,,,,,{C96E3E93-CD19-472F-89E5-69575CC69A36},206.52213942,151.94715110004802
Lawn,Public,Public,Parking,,,,{1FCC04CD-0757-4E75-B65B-6C8A89D0F7C7},143.13375679999999,70.378275856455005
Lawn,Green College,Green College,,,,,{F8172D3B-877A-4AC3-A00F-7C07832FEB9F},46.795023454999999,37.945846998608097
Planting Bed,Green College,Green College,,,,,{4F06E51D-B668-4092-B039-7C599F84640F},173.26502287,49.920669810364394
Planting Bed,Green College,Green College,,,,,{4BA507C9-AB17-4EF9-ADE5-BDD14963EBDB},85.112070764999999,57.8354746416803
Lawn,Green College,Green College,,,,,{C25FC268-7127-4F0A-9010-F736137B3862},24.100496499999998,19.622926871537601
Lawn,Green College,Green College,,,,,{3B2543B3-81FF-4C91-ADB1-05EAF78E1121},443.26478012000001,109.47206534584801
Lawn,Anthropology & Sociology,Anthropology & Socio,,,,,{FA0CD7BD-4812-4D81-B3CC-76DECC76F72C},54.008489750000003,33.893988596692601
Planting Bed,Anthropology & Sociology,Anthropology & Socio,,,,,{F3B5A818-39F4-4AE6-BB50-8EBCF6C27B0D},27.865221835,29.742353660394198
Planting Bed,Anthropology & Sociology,Anthropology & Socio,,,,,{C0C61A99-DD45-4BF0-A9C0-B45ECA9677BD},32.971558260000002,26.8777336728098
Planting Bed,Public,Public - ANSO,,,,,{24AB71F6-A6AC-498A-9E25-7BB365A14D02},48.199901144999998,26.481402329485299
Planting Bed,Public,Public,,,,,{579BA7C5-7B03-4D6A-800A-B498BEAD64B2},165.005293295,53.898762819867002
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{51AA2C20-6D66-445E-93EB-AA081A22CC6F},2.6148435600000002,6.6556759300769297
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{CF82B620-296E-4FFB-9C1C-EF463544317A},2.6243986399999999,6.6789412370488401
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{2A390A46-9DC7-4BE3-9430-F57C683AA588},24.177597339999998,25.3911404193274
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{E00BDCD9-37A1-4045-8A71-BB51396CAFC3},11.103943859999999,13.343664797114698
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{6A4846AA-C3A2-427A-9FC0-0E910F1EB059},9.6370043250000013,12.892524778223001
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{0AB7B749-28A3-4FD5-98FA-CEA2B08137AE},4.0476931399999998,8.2308474539547287
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{EFA98DA9-3B64-4CBF-BDFF-F1BE2A5EEA58},4.2038881049999999,8.4108105547590402
Planting Bed,TBird Residence(782),TBird Residence(782),,,,,{DCF96E83-C0AC-4E23-99BB-9993E44EC9B4},19.529586994999999,17.723682875505201
Planting Bed,Public,Public - TBird,,,,,{8F12F047-E0B4-49F7-AAEB-0F29B9693695},561.42865245499991,148.261879828753
Lawn,Public,Public - TBird,,,,,{6114B74A-24ED-431A-AC31-017DB729FEAA},83.486710055000003,54.876808266224295
Planting Bed,Forest Sciences,Forest Sciences,,,,,{C8085C8D-F514-4898-A888-C44D49A50FBC},7.8263726299999998,11.5252082362006
Planting Bed,Forest Sciences,Forest Sciences,,,,,{762AA387-274E-49DC-A40C-79ACF316020E},31.600977235000002,26.7970518412539
Planting Bed,Forest Sciences,Forest Sciences,,,,,{148FA08F-9A7C-424D-A0FB-41BFF0C8037C},37.080057269999998,84.162512228778013
Lawn,Forest Sciences,Forest Sciences,,,,,{9CDDC225-7CD6-4BC5-8EE1-07923B358F77},205.939854285,92.187258419421795
Planting Bed,TBird Residence(781),TBird Residence(781),,,,,{626442DA-7266-4DA3-8A35-3FB424CCB552},50.706098765,28.136649006973098
Planting Bed,TBird Residence(781),TBird Residence(781),,,,,{A1A1CEB1-2176-449F-B1ED-5E3AB3BA5B1D},37.73319146,31.8277234738879
Planting Bed,TBird Residence(781),TBird Residence(781),,,,,{EE5916CC-348C-4428-BA68-C8BC92B487A8},17.458391429999999,20.132432463703097
Planting Bed,TBird Residence(781),TBird Residence(781),,,,,{3A5D9543-E35D-4472-A2F5-C1C955FB31D8},29.300112055,27.704830070482398
Planting Bed,Chemistry,Chemistry,,,,,{0AF9DA00-3B4F-4CFD-A017-92DE274B687A},16.309744129999999,17.879894570536401
Planting Bed,Chemistry Physics,Chemistry Physics,,,,,{C191EB4F-5165-4062-B44F-1E30E2460F66},166.04489917499998,59.759485408486597
Lawn,Jack Bell,Jack Bell,,,,,{45151085-AC19-4338-B7CA-33AC238EC57D},90.710779500000001,80.704853152377794
